2018-06-22 09:20:12.158565,1,0.11,265.667
2018-06-22 09:20:23.892180,1,0.163,237.75
2018-06-22 09:20:35.612980,1,0.316,342.167
2018-06-22 09:20:47.092020,1,0.647,461.167
2018-06-22 09:20:58.738128,1,0.649,460.333
2018-06-22 09:21:10.376282,1,0.648,459.5
2018-06-22 09:21:21.935967,1,0.65,455.833
2018-06-22 09:21:33.491887,1,0.864,452.5
2018-06-22 09:21:45.113809,1,0.7,460.333
2018-06-22 09:21:56.733922,1,0.646,456.333
2018-06-22 09:22:08.318985,1,0.757,462.833
2018-06-22 09:22:19.904036,1,0.734,463.833
2018-06-22 09:22:31.697434,1,0.692,452.167
2018-06-22 09:22:43.249512,1,0.641,396.75
2018-06-22 09:22:54.874149,1,0.803,445.167
2018-06-22 09:23:06.492250,1,0.794,445.0
2018-06-22 09:23:18.151217,1,0.769,433.167
2018-06-22 09:23:29.708006,1,0.766,442.167
2018-06-22 09:23:41.320915,1,0.754,444.167
2018-06-22 09:23:52.917638,1,1.004,519.25
2018-06-22 09:24:04.573414,1,0.731,447.0
2018-06-22 09:24:16.097519,1,0.716,448.667
2018-06-22 09:24:27.617752,1,0.714,447.167
2018-06-22 09:24:39.142753,1,0.744,446.167
2018-06-22 09:24:50.783949,1,0.659,398.167
2018-06-22 09:25:02.351220,1,0.659,446.333
2018-06-22 09:25:13.974937,1,0.622,449.0
2018-06-22 09:25:25.571363,1,0.621,444.667
2018-06-22 09:25:37.188443,1,0.619,447.5
2018-06-22 09:25:48.811322,1,0.59,420.5
2018-06-22 09:26:00.552359,1,0.587,448.5
2018-06-22 09:26:12.135116,1,0.616,445.833
2018-06-22 09:26:23.778864,1,0.85,422.0
2018-06-22 09:26:35.288495,1,0.63,446.833
2018-06-22 09:26:46.770793,1,0.625,449.5
2018-06-22 09:26:58.400815,1,0.623,453.0
2018-06-22 09:27:10.022135,1,0.648,445.0
2018-06-22 09:27:21.499342,1,0.649,444.833
2018-06-22 09:27:33.051375,1,0.457,389.25
